time,I_cell,T_stack,P_ano,P_cat,m_dot_Osep,m_dot_Hsep,C1,C2,C3,C4,C5,C6,Fault_class
28,19.7265662794497,311.610526384174,108497.138114736,1105002.86188526,0.0169942762294724,0.0100057237705276,0,0,0,0,0,0,0
28.2,19.7265662161294,311.610526090336,108497.138114746,1105002.86188525,0.016994276229491,0.010005723770509,0,0,0,0,0,0,0
28.4,19.7265661695164,311.610525874027,108497.138114752,1105002.86188525,0.0169942762295047,0.0100057237704953,0,0,0,0,0,0,0
28.6,19.7265661352024,311.610525714793,108497.138114757,1105002.86188524,0.0169942762295148,0.0100057237704852,0,0,0,0,0,0,0
28.8,19.7265661099422,311.610525597573,108497.138114761,1105002.86188524,0.0169942762295222,0.0100057237704778,0,0,0,0,0,0,0
29,19.7265660913471,311.610525511282,108497.138114764,1105002.86188524,0.0169942762295277,0.0100057237704723,0,0,0,0,0,0,0
29.2,19.7265660776583,311.610525447759,108497.138114766,1105002.86188523,0.0169942762295317,0.0100057237704683,0,0,0,0,0,0,0
29.4,19.7265660675814,311.610525400997,108497.138114767,1105002.86188523,0.0169942762295347,0.0100057237704653,0,0,0,0,0,0,0
29.6,19.7265660601633,311.610525366574,108497.138114768,1105002.86188523,0.0169942762295369,0.0100057237704631,0,0,0,0,0,0,0
29.8,19.7265660547025,311.610525341233,108497.138114769,1105002.86188523,0.0169942762295385,0.0100057237704615,0,0,0,0,0,0,0
30,19.7265660506826,311.610525322578,108497.13811477,1105002.86188523,0.0169942762295397,0.0100057237704603,0,0,0,0,0,0,0
30.2,19.7265660477233,311.610525308846,108497.13811477,1105002.86188523,0.0169942762295405,0.0100057237704595,0,0,0,0,0,0,0
30.4,19.7265660455449,311.610525298737,108497.138114771,1105002.86188523,0.0169942762295412,0.0100057237704588,0,0,0,0,0,0,0
30.6,19.7265660439412,311.610525291295,108497.138114771,1105002.86188523,0.0169942762295416,0.0100057237704584,0,0,0,0,0,0,0
30.8,19.7265660427607,311.610525285817,108497.138114771,1105002.86188523,0.016994276229542,0.010005723770458,0,0,0,0,0,0,0
31,19.7265660418917,311.610525281784,108497.138114771,1105002.86188523,0.0169942762295422,0.0100057237704578,0,0,0,0,0,0,0
31.2,19.7265660412519,311.610525278815,108497.138114771,1105002.86188523,0.0169942762295424,0.0100057237704576,0,0,0,0,0,0,0
